CURP,ID_SUCURSAL,ID_TURNO,ID_ESTATUS,ID_PUESTO,NOMBRE,APELLIDO_PAT,APELLIDO_MAT,SEXO,FECHA_NACIMIENTO,DIA_INGRESO,MES_INGRESO,ANO_INGRESO,RFC,NSS
WHGD870116FVZAUA72,18,757,347,13,Daffi,Wharrier,Gutowska,Female,1/16/1987,29,3,1994,WHGD870116VZ7,336-38-4208
COBI760520MASPAN90,7,471,230,1,Ingar,Copin,Baxendale,Male,5/20/1976,26,7,2017,COBI760520AS9,699-78-7257
SAMC711103FGTWEH64,17,463,472,5,Chelsy,Sawdy,Merigon,Female,11/3/1971,19,12,2010,SAMC711103GT6,311-26-0834
OSKC980330BYNOUO94,13,161,472,8,Corine,Osorio,Kubis,Bigender,3/30/1998,14,4,2020,OSKC980330YN9,708-72-7364
GOFM961107FTCTUO54,1,519,541,15,Morgen,Gotecliffe,Furminger,Female,11/7/1996,27,11,2014,GOFM961107TC5,715-49-8212
BEWB981224FPLLOA85,9,397,968,15,Bab,Beltzner,Wolfenden,Female,12/24/1998,21,5,2020,BEWB981224PL8,469-96-4499
VAJJ860909FJCSIA20,2,916,508,11,Janis,Vasnev,Jiggen,Female,9/9/1986,8,1,2003,VAJJ860909JC2,185-42-8614
PAAC920419FGTTVO87,9,757,99,5,Cory,Patley,Avrahm,Female,4/19/1992,24,4,2011,PAAC920419GT8,362-35-0197
GHCF761019BMCEHI76,12,314,578,8,Fidel,Gheeraert,Chopping,Bigender,10/19/1976,18,11,2012,GHCF761019MC7,134-69-3385
CUCL990924MASRHA62,6,78,199,13,Lazaro,Curle,Champe,Male,9/24/1999,8,10,2014,CUCL990924AS6,514-66-1791
GADA911027FHGSIG96,6,446,514,9,Agnese,Gaskarth,Ditts,Female,10/27/1991,27,9,1996,GADA911027HG9,176-18-8913
PASR941118MDFCTO81,6,872,658,13,Rowan,Packe,Strand,Male,11/18/1994,18,2,2004,PASR941118DF8,729-61-4233
CRDW760222FBSIEA91,14,26,478,1,Wandis,Crich,deKnevet,Female,2/22/1976,18,10,2020,CRDW760222BS9,870-83-0397
VEMC760926FQRNAA13,14,439,909,12,Carol,Veness,Marieton,Female,9/26/1976,1,6,2023,VEMC760926QR1,325-92-2070
MUOS760923MNTNPI24,14,226,195,10,Sidney,Munns,Opdenorth,Male,9/23/1976,8,11,2014,MUOS760923NT2,180-88-6103
CACA880301FCHMRU20,8,981,702,7,Aubry,Campkin,Cruz,Female,3/1/1988,21,2,2002,CACA880301CH2,235-47-2412
BALS870921MCSUAC68,20,650,940,8,Scotti,Baud,Lawman,Male,9/21/1987,1,7,2010,BALS870921CS6,718-27-9130
LIMD721115MJCMIO09,4,509,678,3,Donavon,Limerick,Miebes,Male,11/15/1972,11,10,2015,LIMD721115JC0,325-33-9678
NOGE840522MTCRRV12,15,572,738,11,Ev,Norcliffe,Greatrex,Male,5/22/1984,12,5,2009,NOGE840522TC1,324-08-0074
KRSH740910NOCYIO87,10,105,121,14,Holly,Krystof,Sircomb,Non-binary,9/10/1974,26,5,1991,KRSH740910OC8,877-15-1757
PIGO910404FMNDED41,17,678,633,1,Odelinda,Pidgeley,Getsham,Female,4/4/1991,6,1,2020,PIGO910404MN4,604-24-6027
THFT841224MQROII59,8,587,975,1,Timoteo,Thomel,Firpo,Male,12/24/1984,25,3,2019,THFT841224QR5,605-58-2781
TACM870706MVZNRA14,18,522,85,13,Maxwell,Tanton,Creamen,Male,7/6/1987,27,6,2006,TACM870706VZ1,846-89-1787
SPBH830615MASEEE39,14,108,276,1,Herbert,Spearett,Berkowitz,Male,6/15/1983,17,3,2018,SPBH830615AS3,321-05-5964
KUWS910402NNLBEI94,1,878,469,1,Sigismund,Kubiak,Westlake,Non-binary,4/2/1991,11,4,2009,KUWS910402NL9,227-36-2681
HABA820225FTLRIL45,14,863,77,14,Almeta,Hargreave,Birt,Female,2/25/1982,10,6,2014,HABA820225TL4,124-25-0368
PACA700821FGTULN20,1,931,377,8,Anna-diana,Pauleit,Cleife,Female,8/21/1970,27,11,2004,PACA700821GT2,454-93-6164
SMDH870821NDFAUA60,19,454,768,5,Hailee,Smallacombe,Durden,Non-binary,8/21/1987,21,8,1999,SMDH870821DF6,377-58-8244
CRFB880126FPLUEA78,1,974,203,10,Bambi,Crucitti,Feldheim,Female,1/26/1988,8,4,2003,CRFB880126PL7,220-20-5271
NEAG970216FMSWBR17,19,749,470,12,Grethel,Newson,Aberdein,Female,2/16/1997,15,10,2003,NEAG970216MS1,581-40-7425
DUUS830112FTSIRT54,1,929,723,13,Stace,Duigan,Urridge,Female,1/12/1983,15,3,2017,DUUS830112TS5,689-19-7404
CEPY851026FNTSRO85,8,972,991,15,Yoko,Cess,Prium,Female,10/26/1985,5,12,2011,CEPY851026NT8,834-53-1591
DACK761125FBSRUI38,1,813,191,14,Kimberli,Darlington,Culbard,Female,11/25/1976,20,1,1998,DACK761125BS3,887-99-7704
DISG740707FSLLWW28,8,260,872,10,Gwenny,Dillon,Swires,Female,7/7/1974,5,9,2018,DISG740707SL2,485-41-7977
CACH800731MMSZLE85,11,235,328,4,Hewet,Cazin,Clow,Male,7/31/1980,29,7,2014,CACH800731MS8,713-73-8065
TRPL890731GDFUEA46,12,871,572,6,Laura,Truran,Petlyura,Genderfluid,7/31/1989,9,8,2019,TRPL890731DF4,530-17-1660
MCCS951214FNLCHH80,13,659,241,2,Sher,McCarroll,Charrisson,Female,12/14/1995,4,2,2015,MCCS951214NL8,765-85-7996
HINA980519MOCNAD56,13,80,863,12,Adam,Hintze,Nano,Male,5/19/1998,28,1,2014,HINA980519OC5,631-64-6028
GIWG820104FNLLAE76,20,47,611,10,Georgine,Gillaspy,Wanstall,Female,1/4/1982,30,7,2017,GIWG820104NL7,484-97-9937
LEBC850828PSPTLO16,17,189,923,6,Conny,Lett,Blaxton,Polygender,8/28/1985,3,7,1999,LEBC850828SP1,112-65-7421
HUVR861220MTCGEO09,13,292,157,12,Roth,Hugueville,Verrechia,Male,12/20/1986,4,6,2011,HUVR861220TC0,781-19-1001
STHR841219FTLAAA64,20,618,439,13,Raina,Staniland,Harcourt,Female,12/19/1984,25,6,1995,STHR841219TL6,180-02-9931
DAJR941016MDGLIA11,3,951,896,13,Rad,Dalley,Jinks,Male,10/16/1994,28,6,2003,DAJR941016DG1,496-37-9458
KNBK960914FASOOA45,11,697,80,8,Kasey,Knok,Bonifant,Female,9/14/1996,28,4,2017,KNBK960914AS4,271-95-9254
COHJ760326MDFSUU07,1,641,833,5,Judas,Cosley,Hunnicot,Male,3/26/1976,27,10,2017,COHJ760326DF0,756-33-3700
KLAL900916FDGEIE04,10,526,662,13,Leonanie,Klebes,Aikman,Female,9/16/1990,8,11,2002,KLAL900916DG0,755-67-4418
VAPC920826MPLRUO86,20,138,864,13,Constantin,Varah,Pullinger,Male,8/26/1992,20,12,2016,VAPC920826PL8,481-89-6198
PUOL940815MCHDNA54,15,321,544,3,Lammond,Puddephatt,Onele,Male,8/15/1994,14,9,2000,PUOL940815CH5,661-84-8061
COGD820217MOCTRO55,7,218,9,1,Dorian,Cottu,Grishanin,Male,2/17/1982,11,6,2004,COGD820217OC5,828-12-7610
HERS800926FCHBUT83,8,466,63,6,Starr,Hebden,Ruilton,Female,9/26/1980,8,2,2003,HERS800926CH8,854-46-6134
KILT800801FOCTAI84,15,282,577,2,Timi,Kitcher,Lawrance,Female,8/1/1980,1,1,1996,KILT800801OC8,797-17-0049
DOBL850516BQRNOI91,8,680,232,15,Liva,Donnelly,Bodycote,Bigender,5/16/1985,20,3,2021,DOBL850516QR9,643-04-3924
FAJJ841022MBSLAU69,14,845,769,8,Julie,Faldo,Jasper,Male,10/22/1984,28,7,2020,FAJJ841022BS6,630-67-5923
FAIG991004MSPRTE27,14,277,356,1,Georgie,Farans,Itzcovich,Male,10/4/1999,9,12,2013,FAIG991004SP2,427-14-9693
MASA790911FCLXEU22,20,24,595,14,Aubry,Maxsted,Seefus,Female,9/11/1979,26,9,2003,MASA790911CL2,480-46-8523
DRND851022BTCIIA89,16,217,361,5,Dawn,Drinnan,Nitti,Bigender,10/22/1985,7,11,1999,DRND851022TC8,725-44-1587
CRPA890528MPLAHU58,4,74,342,8,Aurthur,Crayk,Phette,Male,5/28/1989,22,1,2021,CRPA890528PL5,380-80-3238
MAEP901211MGTCNA73,8,945,620,2,Palm,MacMillan,Endecott,Male,12/11/1990,22,12,2007,MAEP901211GT7,688-07-9894
CHML890621FMSAEU73,11,5,241,9,Lurleen,Charrisson,Mercey,Female,6/21/1989,14,12,2010,CHML890621MS7,159-25-3701
LOSK880201ATLUAA99,11,888,248,13,Kain,Loudiane,Santostefano.,Agender,2/1/1988,10,3,1992,LOSK880201TL9,146-98-5699
MABP780714MMNFRA82,11,410,631,1,Pail,Maffioletti,Bristo,Male,7/14/1978,9,12,2011,MABP780714MN8,838-16-6505
BETL920711FDGRWA64,8,17,296,1,Lacy,Bernardotte,Twyford,Female,7/11/1992,2,12,2014,BETL920711DG6,527-80-3182
STWL800319GMCUAO28,20,215,656,13,Lorenza,Stutter,Waltho,Genderfluid,3/19/1980,20,11,1998,STWL800319MC2,624-33-1468
GELG970223FGTIEL29,17,146,269,12,Gladys,Geipel,Leward,Female,2/23/1997,23,2,2016,GELG970223GT2,407-14-1324
DETE720227MMCDRP41,15,806,369,13,Ephrayim,Dederick,Trevaskis,Male,2/27/1972,26,4,2011,DETE720227MC4,226-98-3159
CHGR981221MMSERU84,3,6,581,13,Rustin,Chettoe,Gregoletti,Male,12/21/1998,23,2,2017,CHGR981221MS8,375-24-6025
ARWJ970404MQTROO60,17,328,111,1,Johan,Arrighi,Woolsey,Male,4/4/1997,23,4,2005,ARWJ970404QT6,497-23-9077
REMV970310MYNVOA05,13,127,700,4,Vaughn,Revell,Mothersole,Male,3/10/1997,8,7,2009,REMV970310YN0,368-19-4909
MACK750122MCLCRI37,12,488,397,14,Kingston,MacQueen,Crossdale,Male,1/22/1975,30,5,1990,MACK750122CL3,204-43-4784
DRKR870309MTCOIO34,9,782,3,5,Ross,Drohane,Killelea,Male,3/9/1987,23,2,1998,DRKR870309TC3,457-03-4819
